1;Sheet;Zielgruppe;Thema;;Unipark Seiten;;Seite neues Layout;Nummer neues Layout;eigene Nummer;lfd Nummer;Trust 1 v1;;Zielgruppe2;Unipark;;INESkey;;Match;Scorecard;KI;Seite;Frage;Fragetyp;Skala min;Skala max;Wert1;Wert2;Wert3;Wert4;Wert5;;Code1Bemerkung;Codierung2;Codeierung3;Schluessel;;MGT;;;;;Vignette;;ScheetE;Unipark SeitenE;eigene NummerE;lfd NummerE;Trust 1 v1E;UniparkE;EE;FrageEnglisch;;Codierung1E;Codierung2E;Codierung3E;SchluesselE;VignE;MA;;;;;
54;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 10;;8;46;46;51;v46;;MA;v_61;;520;;Match MM;;;;Wie hoch ist die Arbeitsplatzsicherheit in Ihrem Unternehmen? Wieviel % der Belegschaft haben in den vergangenen 3 Jahren eine Kündigung erhalten?;1; > 10 %;0%; > 10 %; 10-8 %; 7-5 % ; 4-1 %;0%;;;1.1;1.1.1.2;TFA_15;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 10;46;51;v46;v_61;;How high is the job security in your company?  How many layoffs took place in average in the last 3 years?;;;1.1;1.1.1.2;TFA_15;;;;;;;
55;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;12;;9;47;47;52;v47;;MA;v_60;;530;;;M;E;;Bestätigt Ihre Arbeitsumgebung, dass die Sie umgebenden Menschen  integer sind (Anstand / ethische Grundsätze haben)?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.1;TFA_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;12;47;52;v47;v_60;;Do you have the impression that your working environment is of integrity?;;;1.1;1.1.1;TFA_1;;;;;;;
56;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;9;48;48;53;v48;;MA;v_62;;540;;Match MM;P;E;;Gibt es einen etablierten Prozess in Ihrem Unternehmen, der es Mitarbeitern außerhalb der normalen Linie ermöglicht, Verletzungen ethischer Grundsätze aufzuzeigen? (Whistle blowing);1;Überhaupt nicht umgesetzt;Komplett umgesetzt;Überhaupt nicht umgesetzt;Nicht umgesetzt;Geplant;Im Aufbau;Komplett umgesetzt;;;1.1;1.1.1.3;TFA_11;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;48;53;v48;v_62;;Is there a process in your company outside the normal line, which allows naming inquiries of ethical principles? ;;;1.1;1.1.1.3;TFA_11;;;;;;;
57;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;9;49;49;54;v49;;MA;v_63;;550;;;P;E;;Haben Sie das Gefühl, dass konstruktive Kritik ernst genommen wird?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.1;1.1.2.1;TFA_12;;;;;;;A;;Fragen Vertrauen Stand 3011 eng;;49;54;v49;v_63;;Do you have the feeling that positive criticism is taken seriously? ;;;1.1;1.1.2.1;TFA_12;A;;;;;;
58;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;9;50;50;55;v50;;MA;v_64;;560;;;M;T;;Wissen Sie genau, was von Ihnen erwartet wird?;1;Trifft überhaupt nicht zu;Trifft voll zu;1;2;3;4;5;;;1.2;1.2.1;TCV_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;50;55;v50;v_64;;Do you know exactly what is expected from you at work? ;;;1.2;1.2.1;TCV_1;;;;;;;
59;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 11;;9;51;51;56;v51;;MA;v_65;;570;;Match MM;;;;Gibt es für ihr Aufgabengebiet / Ihre Tätigkeit eine Stellenbeschreibungen?;1;Keine;Auf allen Ebenen;Keine Wenige;Viele;Auf fast allen Ebenen;Auf allen Ebenen;;;;1.2;1.2.1;TCV_2;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 11;51;56;v51;v_65;;Do you have job discriptions in your company? ;;;1.2;1.2.1;TCV_2;;;;;;;
60;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;13;;9;52;52;57;v52;;MA;v_66;;580;;;;;;Wie schätzen Sie das Verhältnis von formellen Aufgabenbeschreibungen und informellen Arbeitsroutinen ein?;1;Stark formell;Stark informell;1;2;3;4;5;;;1.2;1.2.1;TCV_3;;;;;;;;;Fragen Vertrauen Stand 3011 eng;13;52;57;v52;v_66;;How do you estimate the relation between formal job-descriptions and informal working routines? ;;;1.2;1.2.1;TCV_3;;;;;;;
61;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;9;53;53;58;v53;;MA;v_67;;590;;Match MM;;;;Wie häufig werden Sie über die wirtschaftlichen Kennzahlen des Unternehmens unterrichtet? ;1;Jährlich;Täglich;Jährlich;Quartalsweise;Monatlich;Wöchentlich;Täglich;;;1.2;1.2.1;;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;53;58;v53;v_67;;How often are you informed about the company’s economic KPIs?;;;1.2;1.2.1;TCV_4;;;;;;;
62;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;10;54;54;;v54;;MA;;540;600;;;;;;Welche Kennzahlen erfahren Sie regelmäßig?  ;;;;;;;;;;;;;;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;54;;v54;;540;Which KPIs do you get on a regular basis? ;;;;;;;;;;;;
63;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;10;;54;59;v54;;MA;v_68;541;610;600;Match MM;F;K;;Finanzkennzahlen;2;;;;;;;;;;1.2;1.2.1;TCV_4;;;;1.2;1.2.1;;;;Fragen Vertrauen Stand 3011 eng;;54;59;v54;v_68;541;financial figures;;;1.2;1.2.1;TCV_5;;;;;;;
64;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;10;;54;60;v54;;MA;v_69;542;620;600;Match MM;;;;Produktivität;2;;;;;;;;;;1.2;1.2.1;TCV_5;;;;1.2;1.2.1;;;;Fragen Vertrauen Stand 3011 eng;;54;60;v54;v_69;542;productivity;;;1.2;1.2.1;TCV_6;;;;;;;
65;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;10;;54;61;v54;;MA;v_70;543;630;600;Match MM;;;;Fluktuation;2;;;;;;;;;;1.2;1.2.1;TCV_6;;;;1.2;1.2.1;;;;Fragen Vertrauen Stand 3011 eng;;54;61;v54;v_70;543;fluctuation rate;;;1.2;1.2.1;TCV_7;;;;;;;
66;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;10;;54;62;v54;;MA;v_71;544;640;600;Match MM;;;;Krankenstand;2;;;;;;;;;;1.2;1.2.1;TCV_7;;;;1.2;1.2.1;;;;Fragen Vertrauen Stand 3011 eng;;54;62;v54;v_71;544;sick leave;;;1.2;1.2.1;TCV_8;;;;;;;
67;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;10;;54;63;v54;;MA;v_72;545;650;600;Match MM;;;;Erfolgreich abgeschlossene Projekte;2;;;;;;;;;;1.2;1.2.1;TCV_8;;;;1.2;1.2.1;;;;Fragen Vertrauen Stand 3011 eng;;54;63;v54;v_72;545;succesful completed projects;;;1.2;1.2.1;TCV_9;;;;;;;
68;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;10;;54;64;v54;;MA;v_73;546;660;600;Match MM;;;;Anzahl von Reklamationen;2;;;;;;;;;;1.2;1.2.1;TCV_9;;;;1.2;1.2.1;;;;Fragen Vertrauen Stand 3011 eng;;54;64;v54;v_73;546;number of claims;;;1.2;1.2.1;TCV_10;;;;;;;
69;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;10;;54;65;v54;;MA;v_74;547;670;600;Match MM;;;;Lieferpünktlichkeit;2;;;;;;;;;;1.2;1.2.1;TCV_10;;;;1.2;1.2.1;;;;Fragen Vertrauen Stand 3011 eng;;54;65;v54;v_74;547;Ontime delivery;;;1.2;1.2.1;TCV_11;;;;;;;
70;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;10;;54;66;v54;;MA;v_75;548;680;600;Match MM;;;;Umsatz;2;;;;;;;;;;1.2;1.2.1;TCV_11;;;;1.2;1.2.1;;;;Fragen Vertrauen Stand 3011 eng;;54;66;v54;v_75;548;turnover;;;1.2;1.2.1;TCV_12;;;;;;;
71;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;10;;54;67;v54;;MA;v_76;549;690;600;Match MM;K;K;;Kundenzufriedenheit;2;;;;;;;;;;1.2;1.2.1;TCV_12;;;;1.2;1.2.1;;;;Fragen Vertrauen Stand 3011 eng;;54;67;v54;v_76;549;customer satisfaction ;;;1.2;1.2.1;TCV_13;;;;;;;
72;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;Trust 12 ;;11;55;55;68;v55;;MA;v_77;;700;;;M;K;;Gibt es klare Signale darüber, was in Ihrem Unternehmen akzeptiert ist und was nicht (Spielregeln)?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;;1.2;1,2,4;TCS_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;Trust 12 ;55;68;v55;v_77;;Are there clear and consistent signals about what is and isn't acceptable in the organization (rules of the game)? ;;;1.2;1,2,4;TCS_1;;;;;;;
73;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;14;;11;56;56;69;v56;;MA;v_78;;710;;;;;;Macht Ihre Führungskraft mit Ihnen regelmäßig Zielvereinbarungen?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.2;1.2.3;TCA_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;14;56;69;v56;v_78;;Does your manager make target agreements with you? ;;;1.2;1.2.3;TCA_1;;;;;;;
74;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;11;57;57;70;v57;;MA;v_81;;720;;Match MM;M;K;;Wie häufig werden Feedbackgespräche zu Zielvereinbarungen geführt? ;1;alle 2 Jahre;Monatlich;alle 2 Jahre;Jährlich;Halbjährlich;Quartalsweise;Monatlich;;;1.2;1.2.3;TCA_3;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;57;70;v57;v_81;;How often do you have feedback meetings regarding the fulfillment of target agreements? ;;;1.2;1.2.3;TCA_3;;;;;;;
75;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;11;58;58;71;v58;;MA;v_79;;730;;;M;T;;Kennen Sie das Leitbild und die Unternehmenswerte?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.2;1.2.1;TCV_14;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;58;71;v58;v_79;;Do you know the company‘s mission statement and values?;;;1.2;1.2.1;TCV_14;;;;;;;
76;Fragen Vertrauen Stand 30112022;Mitarbeiter;Vertrauen;;;;11;59;59;72;v59;;MA;v_80;;740;;;;;;Sind Entscheidungen über die Zuteilung von Ressourcen klar, nachvollziehbar und berücksichtigen sie Rahmenbedingungen? ;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;;1.2;1.2.2;TCC_1;;;;;;;;;Fragen Vertrauen Stand 3011 eng;;59;72;v59;v_80;;Are decisions on resources clear, understandable and do they consider the circumstances? ;;;1.2;1.2.2;TCC_1;;;;;;;
77;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;ECU 1;;12;1;1;73;v1;;MA;v_82;;750;;Match MM;;;;Seit wie vielen Jahre sind Sie bereits in Ihrem Unternehmen?;1; < 1 jahr;> 10 Jahre; < 1 Jahr; 1-3 Jahre; 4-6 Jahre; 7-10 jahre;> 10 Jahre;;2.1;2.2;2.2.1;ERA_1;;2.1;2.1.1;;;;EERA_1;;Fragen Komp entfaltung 3011 eng;ECU 1;1;73;v1;v_82;;How many years have you been with your company?;;2.1;2.2.1;ERA_1;;;;;;;;
78;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;15;;12;2;2;74;v2;;MA;v_83;;760;;Match MM;;;;Wieviel Prozent Ihrer Projekte schließen Sie erfolgreich ab?;1; < 10 %;70%; < 10 %; 10-30 %;31-50 %; 51-70 %;70%;;2.3.;2.3;2.3.1;EPP_1;;2.3.;2.3.1;;;;EEPP_1;;Fragen Komp entfaltung 3011 eng;15;2;74;v2;v_83;;What is the number of projects you finalize successfully?;;2.3.;2.3.1;EPP_1;;;;;;;;
79;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;12;3;3;75;v3;;MA;v_85;;770;;;F;L;;Haben Sie das Gefühl, dass immer auch ein Lerneffekt eintritt, wenn Sie eine schwierige Aufgabe gelöst haben?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.3.;2.3;2.3.1;EPP_2;;;;;;;;;Fragen Komp entfaltung 3011 eng;;3;75;v3;v_85;;Do you have the impression that gain knowledge whenever you solve a difficult task? ;;2.3.;2.3.1;EPP_2;;;;;;;;
80;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;12;4;4;76;v4;;MA;v_86;;780;;;F;L;;Kennen Sie Ihre Stärken und Schwächen? ;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.3.;2.3;2.3.1;EPP_3;;;;;;;;;Fragen Komp entfaltung 3011 eng;;4;76;v4;v_86;;Are you aware of your strengths and weaknesses? ;;2.3.;2.3.1;EPP_3;;;;;;;;
81;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;12;5;5;77;v5;;MA;v_84;;790;;Match MM;;;;Wieviel Verbesserungsvorschläge machen Sie im Jahr durchschnittlich? ;1; < 0,5 (Keine); > 2 (Sehr viele); < 0,5 (Keine);0,6-1 (Wenig);1,1-1,5 (Einige);1,6-2 (Viele); > 2 (Sehr viele);;2.3.;2.3;2.3.1;EPP_4;;;;;;;;;Fragen Komp entfaltung 3011 eng;;5;77;v5;v_84;;What is the number of improvement proposals you make on average per year? ;;2.3.;2.3.1;EPP_4;;;;;;;;
82;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;ECU 2;;12;6;6;78;v6;;MA;v_87;;800;;Match MM;;;;Wie hoch ist die Anzahl an Patenten an denen Sie beteiligt sind durchschnittlich im Jahr?;1; < 1; > 6; < 1; 1-2; 3-4; 5-6; > 6;;2.3.;2.3;2.3.1;EPP_5;;;;;;;;;Fragen Komp entfaltung 3011 eng;ECU 2;6;78;v6;v_87;;How high is the number of patent applications you are involved in average per year? ;;2.3.;2.3.1;EPP_5;;;;;;;;
83;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;16;;12;7;7;79;v7;;MA;v_88;;810;;Match MM;;;;An wie vielen Projekten zur kontinuierlichen Verbesserung nehmen Sie teil?;1; < 1; > 6; < 1; 1-2; 3-4; 5-6; > 6;;2.3.;2.3;2.3.1;EPP_6;;;;;;;;;Fragen Komp entfaltung 3011 eng;16;7;79;v7;v_88;;In how many projects for continuous improvement do you participate? ;;2.3.;2.3.1;EPP_6;;;;;;;;
84;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;12;8;8;80;v8;;MA;v_89;;820;;Match MM;;;;An der Einführung von wie vielen neuen Prozessen sind Sie durchschnittlich im Jahr beteiligt?;1; < 1; > 6; < 1; 1-2; 3-4; 5-6; > 6;;2.3.;2.3;2.3.1;EPP_7;;;;;;;;;Fragen Komp entfaltung 3011 eng;;8;80;v8;v_89;;In how many new process implementations do you participate in average per year?;;2.3.;2.3.1;EPP_7;;;;;;;;
85;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;12;9;9;81;v9;;MA;v_90;;830;;Match MM;K;L;;Würden Sie Ihr Unternehmen als innovativ bezeichnen?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.2;2.2;2.2.2.1;EOE_1;;;;;;;;;Fragen Komp entfaltung 3011 eng;;9;81;v9;v_90;;In your opinion: Is your company innovative? ;;2.2;2.2.2.1;EOE_1;;;;;;;;
86;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;12;10;10;82;v10;;MA;v_91;;840;;;M;R;;Haben Sie alle Materialien  und Hilfsmittel, die Sie benötigen, um Ihre Arbeit richtig zu tun?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;1.2;1.2;1.2.2;TCC_2;;;;;;;;;Fragen Komp entfaltung 3011 eng;TRUST;10;82;v10;v_91;;Do you have the materials and equipment which are needed to do your job correctly? ;;1.2;1.2.2;TCC_2;;;;;;;;
87;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;ECU 3 ;;13;11;11;83;v11;;MA;v_92;;850;;;M;R;;Haben Sie bei der Arbeit die Möglichkeit, das was Sie tun, jeden Tag bestmöglich zu tun?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;2.2;2.2;2.2.2.3;EOE_15;;;;;;;;;Fragen Komp entfaltung 3011 eng;ECU 3 ;11;83;v11;v_92;;Do you have the opportunity to do what you do in the best way every day at work?;;2.2;2.2.2.3;EOE_15;;;;;;;;
88;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;17;;13;12;12;84;v12;;MA;v_93;;860;;Match MM;;;;Wie hoch ist der Anteil von internen Besetzungen von Managementpositionen verglichen mit externen Besetzungen? ;1; < 10 %; > 70 %; < 10 %; > 10 < 30 %; > 30 < 50 %; > 50 < 70 %; > 70 %;;2.4;2.4;2.4.3;ESG_1;;;;;;;;;Fragen Komp entfaltung 3011 eng;17;12;84;v12;v_93;;What is the share of internal recruitments for management positions? ;;2.4;2.4.3;ESG_1;;;;;;;;
89;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;13;13;13;85;v13;;MA;v_94;;870;;Match MM;;;;Wurden Sie schon einmal als Projektmanager von Ihrem Unternehmen eingesetzt? ;1;Nie;Immer;Nie; Selten;Manchmal;Häufig;Immer;;2.2;2.2;2.2.2.1;EOE_2;;;;;;;;;Fragen Komp entfaltung 3011 eng;;13;85;v13;v_94;;Have you ever been chosen for project management by your company? ;;2.2;2.2.2.1;EOE_2;;;;;;;;
90;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;13;14;14;86;v14;;MA;v_95;;880;;Match MM;;;;Wie hoch ist der durchschnittliche Grad der Erfüllung Ihrer Zielvereinbarungen?;1; < 50 %; > 80 %; < 50 %; 51-60 %; 61-70 %; 71-80 %; > 80 %;;2.2;2.2;2.2.2.1;EOE_3;;;;;;;;;Fragen Komp entfaltung 3011 eng;;14;86;v14;v_95;;How high is the average level of fulfillment in target agreements? ;;2.2;2.2.2.1;EOE_3;;;;;;;;
91;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;13;15;15;87;v15;;MA;v_96;;890;;Match MM;;;;Hatten Sie schon mal einen Zielerfüllungsgrad von mehr als 100%?;1;Nie;Immer;Nie;Selten;Manchmal;Häufig;Immer;;2.2;2.2;2.2.2.1;EOE_4;;;;;;;;;Fragen Komp entfaltung 3011 eng;;15;87;v15;v_96;;Did you ever have a target fulfillment level of more than 100%? ;;2.2;2.2.2.1;EOE_4;;;;;;;;
92;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;ECU 4;;13;16;16;88;v16;;MA;v_97;;900;;Match MM;;;;Wie gehen Sie mit Zeitdruck um?;1;Hoher Widerstand;Hoher Einsatz;1;2;3;4;5;;2.2;2.2;2.2.2.1;EOE_5;;;;;;;;;Fragen Komp entfaltung 3011 eng;ECU 4;16;88;v16;v_97;;How do you handle time pressure? ;;2.2;2.2.2.1;EOE_5;;;;;;;;
93;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;18;;13;17;17;89;v17;;MA;v_98;;910;;;;;;Machen Sie Ihre Arbeit, weil Sie Spaß daran haben?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.2;2.2;2.2.2.2;EOE_7;;;;;;;;;Fragen Komp entfaltung 3011 eng;18;17;89;v17;v_98;;Are you getting your work done because you have fun to do so? ;;2.2;2.2.2.2;EOE_7;;;;;;;;
94;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;13;18;18;90;v18;;MA;v_99;;920;;;;;;Erledigen Sie Ihre Aufgaben mit Begeisterung?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.2;2.2;2.2.2.2;EOE_8;;;;;;;;;Fragen Komp entfaltung 3011 eng;;18;90;v18;v_99;;Are you getting your work done with enthusiasm? ;;2.2;2.2.2.2;EOE_8;;;;;;;;
95;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;13;19;19;91;v19;;MA;v_100;;930;;;;;;Wie wichtig ist Ihnen Wertschätzung durch Bezahlung?;1;Gar nicht wichtig;Sehr wichtig;1;2;3;4;5;;2.2;2.2;2.2.2.2;EOE_9;;;;;;;;;Fragen Komp entfaltung 3011 eng;;19;91;v19;v_100;;How important is recognition through gratification?;;2.2;2.2.2.2;EOE_9;;;;;;;;
96;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;13;20;20;92;v20;;MA;v_101;;940;;;;;;Wie wichtig ist Ihnen Wertschätzung in Form von positivem Feedback? ;1;Gar nicht wichtig;Sehr wichtig;1;2;3;4;5;;2.2;2.2;2.2.2.2;EOE_10;;;;;;;;;Fragen Komp entfaltung 3011 eng;;20;92;v20;v_101;;How important is recognition in form of positive feedback? ;;2.2;2.2.2.2;EOE_10;;;;;;;;
97;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;ECU 5;;13;21;21;93;v21;;MA;v_102;;950;;;;;;Wie wichtig ist Ihnen, dass Sie Spaß an Ihrer Arbeit haben?;1;Gar nicht wichtig;Sehr wichtig;1;2;3;4;5;;2.2;2.2;2.2.2.2;EOE_11;;;;;;;;;Fragen Komp entfaltung 3011 eng;ECU 5;21;93;v21;v_102;;How important is happiness at work for you? ;;2.2;2.2.2.2;EOE_11;;;;;;;;
98;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;19;;14;22;22;94;v22;;MA;v_103;;960;;;;;;Wenn Sie Spaß an Ihrer Arbeit haben, hat das zu tun …mit  den den interessanten Aufgaben in Ihrem Job? ;1;Gar nicht;Absolut;1;2;3;4;5;;2.2;2.2;2.2.2.2;EOE_12;;;;;;;E;;Fragen Komp entfaltung 3011 eng;19;22;94;v22;v_103;;In case you have fun at doing your job does this have to do with…the content of the job? ;;2.2;2.2.2.2;EOE_12;;E;;;;;;
99;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;14;23;23;95;v23;;MA;v_104;;970;;;;;;Wenn Sie Spaß an Ihrer Arbeit haben, hat das zu tun …mit der Atmosphäre in Ihrem Unternehmen? ;1;Gar nicht;Absolut;1;2;3;4;5;;2.2;2.2;2.2.2.2;EOE_13;;;;;;;E;;Fragen Komp entfaltung 3011 eng;;23;95;v23;v_104;;In case you have fun at doing your job does this have to do with…by the atmosphere of your  company?;;2.2;2.2.2.2;EOE_13;;E;;;;;;
100;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;14;24;24;96;v24;;MA;v_105;;980;;;;;;Wenn Sie Spaß an Ihrer Arbeit haben, hat das zu tun...mit der Wichtigkeit Ihrer Aufgaben? ;1;Gar nicht;Absolut;1;2;3;4;5;;2.2;2.2;2.2.2.2;EOE_14;;;;;;;E;;Fragen Komp entfaltung 3011 eng;;24;96;v24;v_105;;In case you have fun at doing your job does this have to do with…By the meaningfulness of your task?;;2.2;2.2.2.2;EOE_14;;E;;;;;;
101;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;14;25;25;97;v25;;MA;v_106;;990;;;;;;Identifizieren Sie sich mit Ihrem Unternehmen? ;1;Gar nicht;Absolut;1;2;3;4;5;;2.2;2.2;2.2.1.1;EOC_2;;;;;;;;;Fragen Komp entfaltung 3011 eng;;25;97;v25;v_106;;Do you feel emotional attachment (involvement) to the organization? ;;2.2;2.2.1.1;EOC_2;;;;;;;;
102;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;ECU 6;;14;26;26;98;v26;;MA;v_107;;1000;;;M;Z;;Fühlen Sie sich sicher bezüglich Ihrer eigenen Fähigkeiten?;1;Gar nicht;Absolut;1;2;3;4;5;;2.2;2.2;2.2.1.2;EOC_3;;;;;;;D;;Fragen Komp entfaltung 3011 eng;ECU 6;26;98;v26;v_107;;Do you feel safe regarding to your own abilities? ;;2.2;2.2.1.2;EOC_3;;D;;;;;;
103;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;20;;14;27;27;99;v27;;MA;v_108;;1010;;;M;E;;Sind Sie stolz darauf in diesem speziellen Unternehmen zu arbeiten?;1;Gar nicht;Absolut;1;2;3;4;5;;2.2;2.2;2.2.1.3;EOC_4;;;;;;;;;Fragen Komp entfaltung 3011 eng;20;27;99;v27;v_108;;Are your proud to work in your specific company?;;2.2;2.2.1.3;EOC_4;;;;;;;;
104;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;14;28;28;100;v28;;MA;v_109;;1020;;;;;;Haben Sie das Gefühl, Teil eines erfolgreichen Unternehmens zu sein?;1;Gar nicht;Absolut;1;2;3;4;5;;2.2;2.2;2.2.1.3;EOC_5;;;;;;;;;Fragen Komp entfaltung 3011 eng;;28;100;v28;v_109;;Do you think you are part of a successful enterprise? ;;2.2;2.2.1.3;EOC_5;;;;;;;;
105;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;14;29;29;101;v29;;MA;v_110;;1030;;;;;;Haben Sie ein ‘Wir’ - Gefühl in Ihrem Unternehmen?;1;Gar nicht;Absolut;1;2;3;4;5;;2.2;2.2;2.2.1.3;EOC_6;;;;;;;;;Fragen Komp entfaltung 3011 eng;;29;101;v29;v_110;;Do you have a ‚we‘-feeling in your company?;;2.2;2.2.1.3;EOC_6;;;;;;;;
106;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;14;30;30;102;v30;;MA;v_111;;1040;;;;;;Haben Sie das Gefühl, dass Ihr Job wichtig ist?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.2;2.2;2.2.1.5;EOC_11;;;;;;;;;Fragen Komp entfaltung 3011 eng;;30;102;v30;v_111;;Do feel that your job is important?;;2.2;2.2.1.5;EOC_11;;;;;;;;
107;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;ECU 7 ;;14;31;31;103;v31;;MA;v_112;;1050;;;;;;Haben Sie das Gefühl in bedeutsame Aufgaben eingebunden zu sein?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.4;2.4;2.4.1;ESM_1;;;;;;;;;Fragen Komp entfaltung 3011 eng;ECU 7 ;31;103;v31;v_112;;Do you have the feeling of being involved in important tasks?;;2.4;2.4.1;ESM_1;;;;;;;;
108;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;21;;15;32;32;104;v32;;MA;v_113;;1060;;;M;T;;Haben Sie den Eindruck, dass Ihre Meinung in Ihrem Unternehmen zählt?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.2;2.2;2.2.1.4;EOC_8;;;;;;;;;Fragen Komp entfaltung 3011 eng;21;32;104;v32;v_113;;What is your impression: Does your opinion count in your company?;;2.2;2.2.1.4;EOC_8;;;;;;;;
